"area label","area long label","area","Trend of changes in the council tax base","Trend of changes in the council tax base","Trend of changes in the council tax base","Trend of changes in the council tax base","Trend of changes in the council tax base","Trend of changes in the council tax base","Trend of changes in the council tax base","Trend of changes in the council tax base","Trend of changes in the council tax base","Trend of changes in the council tax base","Trend of changes in the council tax base","Trend of changes in the council tax base","Trend of changes in the council tax base","Trend of changes in the council tax base"
"area label","area long label","area","4274","4274","4274","4274","4274","4274","4274","4274","4274","4274","4274","4274","4274","4274"
"area label","area long label","area","Index","Index","Index","Index","Index","Index","Index","Index","Index","Index","Index","Index","Index","Index"
"area label","area long label","area","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw","raw"
"area label","area long label","area","2009/10 (taxbase)","2010/11 (taxbase)","2011/12 (taxbase)","2012/13 (taxbase)","2013/14 (taxbase)","2014/15 (taxbase)","2015/16 (taxbase)","2016/17 (taxbase)","2017/18 (taxbase)","2018/19 (taxbase)","2019/20 (taxbase)","2020/21 (taxbase)","2021/22 (taxbase)","2022/23 (taxbase)"
"area label","area long label","area","tax_2009_10","tax_2010_11","tax_2011_12","tax_2012_13","tax_2013_14","tax_2014_15","tax_2015_16","tax_2016_17","tax_2017_18","tax_2018_19","tax_2019_20","tax_2020_21","tax_2021_22","tax_2022_23"
"Barking and Dagenham","Barking and Dagenham (London borough)","E09000002","100.00","101.35","102.17","103.23","103.83","106.26","108.78","110.46","111.41","112.07","113.78","114.23","114.63","116.84"
"Barnet","Barnet (London borough)","E09000003","100.00","100.59","102.33","103.24","103.88","107.66","109.07","110.12","111.97","113.44","114.38","115.53","116.59","117.36"
"Bexley","Bexley (London borough)","E09000004","100.00","101.02","101.07","101.10","101.64","103.12","104.08","104.83","105.46","105.75","106.35","106.61","107.58","107.83"
"Brent","Brent (London borough)","E09000005","100.00","100.87","102.04","103.29","104.66","106.97","109.68","111.94","112.86","113.66","115.44","117.30","119.08","122.24"
"Bromley","Bromley (London borough)","E09000006","100.00","100.53","101.00","101.72","102.20","104.61","105.27","105.90","106.43","106.69","107.16","107.48","107.83","108.07"
"Camden","Camden (London borough)","E09000007","100.00","101.16","101.58","102.32","102.30","109.36","110.50","112.03","112.71","113.94","115.65","116.39","116.55","115.76"
"Croydon","Croydon (London borough)","E09000008","100.00","100.80","101.73","102.57","103.02","105.25","106.95","107.97","109.15","110.17","111.59","112.99","114.55","115.36"
"Ealing","Ealing (London borough)","E09000009","100.00","101.54","102.48","103.82","104.50","107.69","108.56","109.04","110.08","111.39","112.89","114.51","115.71","117.39"
"Enfield","Enfield (London borough)","E09000010","100.00","100.60","100.95","101.37","101.44","104.07","104.71","105.32","106.18","106.33","107.17","107.71","107.55","108.05"
"Greenwich","Greenwich (London borough)","E09000011","100.00","101.21","102.92","104.69","106.06","110.69","112.95","116.15","118.60","121.18","125.04","126.22","127.41","127.67"
"Hackney","Hackney (London borough)","E09000012","100.00","102.49","103.87","106.94","108.63","113.24","115.93","117.39","119.18","120.70","123.49","125.42","128.09","127.51"
"Hammersmith and Fulham","Hammersmith and Fulham (London borough)","E09000013","100.00","101.38","101.60","102.04","104.27","108.04","109.51","111.30","112.69","114.20","116.33","118.36","118.89","120.63"
"Haringey","Haringey (London borough)","E09000014","100.00","101.54","102.05","103.01","103.61","105.92","107.02","108.19","108.91","109.69","110.24","111.09","111.65","112.42"
"Harrow","Harrow (London borough)","E09000015","100.00","100.62","101.31","101.86","102.42","103.47","104.88","106.43","107.53","108.51","109.95","111.02","111.62","112.10"
"Havering","Havering (London borough)","E09000016","100.00","100.55","101.29","101.95","102.45","104.81","106.25","107.19","107.46","107.91","108.14","108.62","109.08","109.25"
"Hillingdon","Hillingdon (London borough)","E09000017","100.00","101.22","101.95","103.64","104.00","106.30","107.95","109.50","110.71","111.64","112.61","113.73","114.96","115.05"
"Hounslow","Hounslow (London borough)","E09000018","100.00","100.58","101.41","102.83","102.79","106.20","107.77","109.44","110.74","112.07","113.27","114.24","114.90","116.29"
"Islington","Islington (London borough)","E09000019","100.00","102.14","102.75","104.04","104.85","109.46","109.95","111.18","112.62","113.88","114.75","116.24","115.90","116.19"
"Kensington and Chelsea","Kensington and Chelsea (London borough)","E09000020","100.00","99.58","99.69","99.42","98.47","108.66","110.12","110.80","110.85","111.55","111.59","112.39","112.81","112.29"
"Kingston upon Thames","Kingston upon Thames (London borough)","E09000021","100.00","101.79","102.37","102.55","103.44","106.42","107.83","108.97","109.45","109.69","111.23","112.17","112.81","112.92"
"Lambeth","Lambeth (London borough)","E09000022","100.00","101.90","103.23","104.24","105.62","109.41","110.75","111.22","113.66","114.82","116.35","117.60","119.13","119.44"
"Lewisham","Lewisham (London borough)","E09000023","100.00","101.13","102.20","103.62","105.20","107.41","108.95","111.08","112.23","113.86","114.95","115.97","115.91","116.09"
"Merton","Merton (London borough)","E09000024","100.00","100.72","101.27","102.24","103.05","105.27","106.83","107.74","108.69","109.25","109.79","110.00","110.72","111.73"
"Newham","Newham (London borough)","E09000025","100.00","101.40","103.26","105.31","106.07","112.78","115.07","116.30","119.67","123.40","128.03","130.63","132.93","136.37"
"Redbridge","Redbridge (London borough)","E09000026","100.00","100.64","101.14","101.98","102.54","104.73","105.38","106.25","107.05","107.69","108.70","109.38","109.74","109.97"
"Richmond upon Thames","Richmond upon Thames (London borough)","E09000027","100.00","100.16","100.90","101.39","101.59","104.33","104.87","105.61","106.26","106.28","106.54","106.63","106.74","107.00"
"Southwark","Southwark (London borough)","E09000028","100.00","102.74","103.73","104.95","106.04","110.40","112.18","115.02","118.08","121.23","123.73","124.51","125.98","126.45"
"Sutton","Sutton (London borough)","E09000029","100.00","100.15","100.34","101.08","100.54","103.38","103.79","104.40","105.61","106.27","107.32","108.00","108.07","108.64"
"Tower Hamlets","Tower Hamlets (London borough)","E09000030","100.00","104.96","108.54","112.14","114.20","122.40","125.67","130.20","134.48","137.39","141.84","145.34","151.95","154.92"
"Waltham Forest","Waltham Forest (London borough)","E09000031","100.00","100.54","101.86","102.69","103.94","106.48","107.79","109.35","110.22","111.05","111.84","113.62","114.55","115.41"
"Wandsworth","Wandsworth (London borough)","E09000032","100.00","100.95","101.91","102.75","103.40","106.49","108.22","110.19","112.12","113.73","114.99","116.22","117.25","118.38"
"Westminster","Westminster (London borough)","E09000033","100.00","100.57","101.30","102.41","103.05","109.46","111.42","113.07","114.32","115.24","115.48","117.59","117.79","118.30"
