Dataset name,E-food Desert Index (EFDI) score
Brixton Acre Lane,13.11
Brixton North,17.36
Brixton Rush Common,14.65
Brixton Windrush,17.35
Clapham Common & Abbeville,6.62
Clapham East,13.09
Clapham Park,13.19
Clapham Town,9.29
Gipsy Hill,15.97
Herne Hill & Loughborough Junction,13.73
Kennington,17.77
Knight's Hill,13.61
Myatt's Fields,14.89
Oval,13.75
St Martin's,15.68
Stockwell East,14.8
Stockwell West & Larkhall,15.4
Streatham Common & Vale,11.25
Streatham Hill East,12.43
Streatham Hill West & Thornton,7.04
Streatham St Leonard's,10.01
Streatham Wells,11.82
Vauxhall,19.99
Waterloo & South Bank,15.02
West Dulwich,11.98
Lambeth,13.45
London,15.34
England,21.11
